label,duration,total_packets,total_bytes,throughput_bps,pkt_mean,pkt_std,iat_mean,iat_std,qoe_metric
Web,5.043916940689087,245,260170,51580.94454355869,1061.9183673469388,3205.5937221836857,0.020671790740529043,0.18491531503779018,3.802350044250488
Web,5.6369240283966064,697,991750,175938.15261727024,1422.8837876614061,3581.8026119018177,0.008099028776431906,0.022496020774586598,5.189975500106812
Web,4.956920146942139,216,75939,15319.794902656604,351.56944444444446,836.4976670794252,0.023055442543916924,0.1891566178867801,3.5482349395751958
Web,7.975298166275024,1065,1015782,127366.02178654786,953.7859154929578,1266.6462083307326,0.007495580983341188,0.053559691273314516,7.035593271255493
Web,9.825076818466187,3471,8231093,837763.7296972272,2371.389513108614,5179.950780514822,0.0028314342416329067,0.02746122213101602,8.107029676437378
Web,6.30768084526062,577,656513,104081.51840676623,1137.8041594454073,1935.6704250918906,0.010950834800799688,0.044768172524755574,4.558368682861328
Web,5.48693585395813,562,588201,107200.26908564776,1046.6209964412812,2645.560677704596,0.00978063432078098,0.02654094416421428,5.166205883026123
Web,5.168702840805054,1551,1635885,316498.17185953795,1054.7292069632495,1507.14905100282,0.0033346469940677766,0.02851738941363027,3.389321565628052
Web,7.17986798286438,1483,2137002,297638.06313712354,1440.9993256911666,3055.461841037449,0.0048447152381001215,0.01437414427489348,5.691944599151611
Web,10.662079095840454,4357,6407551,600966.3727311634,1470.6336929079641,3199.145910068381,0.002447676560110297,0.006929892270152839,9.31757378578186
Web,6.89142107963562,505,320678,46532.927867027924,635.0059405940594,1252.834630685909,0.013673454523086548,0.08303786834896758,5.382587671279907
Web,8.64227819442749,3423,3672496,424945.35785344336,1072.888109845165,1400.35029465822,0.0025255050246719727,0.00993252940304824,7.16403079032898
Web,7.93284797668457,568,583398,73542.06228515468,1027.1091549295775,2035.4603855253356,0.013990913539126227,0.03257455046520215,6.289857625961304
Web,13.473398923873901,11792,35927473,2666548.5972020826,3046.76670624152,7947.967805080603,0.0011426850075374354,0.011468709471531188,12.139557361602783
